name,id,name_type,class,mass,fall,year,lat,long,geolocation,country,mass_range
Bjelaja Zerkov,5063,Valid,H6,1850,Fell,1796,49.78333,30.16667,"(49.78333, 30.16667)",Ukraine,1000-9999
Bjurb̦le,5064,Valid,L/LL4,330000,Fell,1899,60.4,25.8,"(60.4, 25.8)",Finland,100000-999999
Black Moshannan Park,5065,Valid,L5,705,Fell,1941,40.91667,-78.08333,"(40.91667, -78.08333)",United States,0-999
Blackwell,5068,Valid,L5,2381,Fell,1906,36.83333,-97.33333,"(36.83333, -97.33333)",United States,1000-9999
Blanket,5071,Valid,L6,5100,Fell,1909,31.83333,-98.83333,"(31.83333, -98.83333)",United States,1000-9999
Blansko,5072,Valid,H6,470,Fell,1833,49.36667,16.63333,"(49.36667, 16.63333)",Czechia,0-999
Bloomington,5076,Valid,LL6,67.8,Fell,1938,40.48,-89.00417,"(40.48, -89.00417)",United States,0-999
Bo Xian,5090,Valid,LL3.9,7500,Fell,1977,33.83333,115.83333,"(33.83333, 115.83333)",China,1000-9999
Bocas,5093,Valid,L6,56,Fell,1804,23,-102,"(23.0, -102.0)",Mexico,0-999
Bogou,5097,Valid,"Iron, IAB-MG",8800,Fell,1962,12.5,0.7,"(12.5, 0.7)",Burkina Faso,1000-9999
Boguslavka,5098,Valid,"Iron, IIAB",256000,Fell,1916,44.55,131.63333,"(44.55, 131.63333)",Russia,100000-999999
Borgo San Donino,5110,Valid,LL6,1676,Fell,1808,44.86667,10.05,"(44.86667, 10.05)",Italy,1000-9999
Bori,5111,Valid,L6,8600,Fell,1894,21.95,78.03333,"(21.95, 78.03333)",India,1000-9999
Boriskino,5112,Valid,CM2,1342,Fell,1930,54.23333,52.48333,"(54.23333, 52.48333)",Russia,1000-9999
Borkut,5113,Valid,L5,7000,Fell,1852,48.15,24.28333,"(48.15, 24.28333)",Ukraine,1000-9999
Borodino,5114,Valid,H5,500,Fell,1812,55.46667,35.86667,"(55.46667, 35.86667)",Russia,0-999
Botschetschki,5117,Valid,L4,614,Fell,1823,51.33333,33.88333,"(51.33333, 33.88333)",Ukraine,0-999
Boumdeid (2003),57168,Valid,L6,190,Fell,2003,17.71067,-11.3715,"(17.71067, -11.3715)",Mauritania,0-999
Boumdeid (2011),57167,Valid,L6,3599,Fell,2011,17.17493,-11.34133,"(17.17493, -11.34133)",Mauritania,1000-9999
Bovedy,5121,Valid,L3,5460,Fell,1969,54.56667,-6.33333,"(54.56667, -6.33333)",United Kingdom,1000-9999
Bradford Woods,5128,Valid,L,762,Fell,1886,40.5,-80.08333,"(40.5, -80.08333)",United States,0-999
Braunau,5133,Valid,"Iron, IIAB",39000,Fell,1847,50.6,16.3,"(50.6, 16.3)",Czechia,10000-99999
Breitscheid,5134,Valid,H5,1500,Fell,1956,50.66694,8.18361,"(50.66694, 8.18361)",Germany,1000-9999
Bremerv̦rde,5135,Valid,H/L3.9,7250,Fell,1855,53.4,9.1,"(53.4, 9.1)",Germany,1000-9999
Brient,5140,Valid,Eucrite-pmict,219,Fell,1933,52.13333,59.31667,"(52.13333, 59.31667)",Russia,0-999
Bruderheim,5156,Valid,L6,303000,Fell,1960,53.9,-112.88333,"(53.9, -112.88333)",Canada,100000-999999
Bukhara,30448,Valid,CV3,5300,Fell,2001,39.77978,64.60035,"(39.77978, 64.60035)",Uzbekistan,1000-9999
